label,architecture,encoder,params,miou,pixel_accuracy,iou_bg,iou_normal,iou_canker,dice_normal,dice_canker,latency_bs1_ms,throughput_bs_fps
unet_resnet34,Unet,resnet34,24436659,0.9615905759508462,0.9948298714377664,0.9977622063444709,0.9579376960664755,0.9290718254415921,0.9785170365645299,0.9632319680257777,26.226754150002307,40.536087651312684
unet_efficientnet-b0,Unet,efficientnet-b0,6251759,0.9077047098049889,0.9888530644503507,0.9976268655720163,0.9083313360599337,0.8171559277830165,0.9519639686212293,0.899378985907908,24.630679200004124,43.25961126543765
deeplabv3plus_resnet34,DeepLabV3Plus,resnet34,22437971,0.9776705128679039,0.9966026219454679,0.9977330221734759,0.9731974891177363,0.9620810273124992,0.9864167114391333,0.9806741046064549,30.89209584998116,36.12655006574084
fpn_resnet34,FPN,resnet34,23155651,0.9676728999494345,0.9955360239202325,0.9976554692747077,0.9654029563176731,0.9399602742559228,0.9823969717908907,0.9690510540134099,24.945354200008296,41.634486678005906
