model,params,map50,map50_95,precision,recall,latency_bs1_ms,throughput_bs_fps
yolov8n,3011238,0.9925913978494624,0.9906600852799405,0.9648102788347512,0.983376529965753,8.86771250000038,168.91627859151683
yolov8s,11136374,0.9933333333333334,0.9916553672316384,0.961878101116437,0.9805540434040082,17.235070833335914,68.2735765594908
yolov8m,25857478,0.990921052631579,0.9860145676447323,0.99125979952293,0.9393314663135035,34.9126430666729,30.154535160812323
