model,params,accuracy,f1_positive,precision_positive,recall_positive,auc,latency_bs1_ms,throughput_bs_fps
resnet50,23512130,0.9882903981264637,0.9855907780979827,0.9771428571428571,0.9941860465116279,0.9974692202462381,27.862912500010378,83.80462431516987
efficientnet_b0,4010110,0.9742388758782201,0.967930029154519,0.9707602339181286,0.9651162790697675,0.9901960784313725,19.677523599966662,160.62534907191383
convnext_tiny,27821666,0.9882903981264637,0.9856733524355301,0.9717514124293786,1.0,0.9993844049247605,7.176048600013019,109.81488870260742
mobilenetv3_large_100,4204594,0.9765807962529274,0.9707602339181286,0.9764705882352941,0.9651162790697675,0.9954172366621067,13.124038866650759,264.5672094500461
vit_small_patch16_224,21666434,0.990632318501171,0.9883720930232558,0.9883720930232558,0.9883720930232558,0.9989740082079344,5.936477766711809,175.0310583269131
